id,word,category,part_of_speech,definition_zh_tw,example_en,example_zh_tw,collection_note
173,concern,core_3000,,,,,Core high-frequency vocabulary
174,condition,core_3000,,,,,Core high-frequency vocabulary
175,conference,core_3000,,,,,Core high-frequency vocabulary
176,Congress,core_3000,,,,,Core high-frequency vocabulary
177,consider,core_3000,,,,,Core high-frequency vocabulary
178,consumer,core_3000,,,,,Core high-frequency vocabulary
179,contain,core_3000,,,,,Core high-frequency vocabulary
180,continue,core_3000,,,,,Core high-frequency vocabulary
181,control,core_3000,,,,,Core high-frequency vocabulary
182,cost,core_3000,,,,,Core high-frequency vocabulary
183,could,core_3000,,,,,Core high-frequency vocabulary
184,country,core_3000,,,,,Core high-frequency vocabulary
185,couple,core_3000,,,,,Core high-frequency vocabulary
186,course,core_3000,,,,,Core high-frequency vocabulary
187,court,core_3000,,,,,Core high-frequency vocabulary
188,cover,core_3000,,,,,Core high-frequency vocabulary
189,create,core_3000,,,,,Core high-frequency vocabulary
190,crime,core_3000,,,,,Core high-frequency vocabulary
191,cultural,core_3000,,,,,Core high-frequency vocabulary
192,culture,core_3000,,,,,Core high-frequency vocabulary
193,cup,core_3000,,,,,Core high-frequency vocabulary
194,current,core_3000,,,,,Core high-frequency vocabulary
195,customer,core_3000,,,,,Core high-frequency vocabulary
196,cut,core_3000,,,,,Core high-frequency vocabulary
197,dark,core_3000,,,,,Core high-frequency vocabulary
198,data,core_3000,,,,,Core high-frequency vocabulary
199,daughter,core_3000,,,,,Core high-frequency vocabulary
200,day,core_3000,,,,,Core high-frequency vocabulary
201,dead,core_3000,,,,,Core high-frequency vocabulary
202,deal,core_3000,,,,,Core high-frequency vocabulary
203,death,core_3000,,,,,Core high-frequency vocabulary
204,debate,core_3000,,,,,Core high-frequency vocabulary
205,decade,core_3000,,,,,Core high-frequency vocabulary
206,decide,core_3000,,,,,Core high-frequency vocabulary
207,decision,core_3000,,,,,Core high-frequency vocabulary
208,deep,core_3000,,,,,Core high-frequency vocabulary
209,defense,core_3000,,,,,Core high-frequency vocabulary
210,degree,core_3000,,,,,Core high-frequency vocabulary
211,Democrat,core_3000,,,,,Core high-frequency vocabulary
212,describe,core_3000,,,,,Core high-frequency vocabulary
213,design,core_3000,,,,,Core high-frequency vocabulary
214,despite,core_3000,,,,,Core high-frequency vocabulary
215,detail,core_3000,,,,,Core high-frequency vocabulary
216,determine,core_3000,,,,,Core high-frequency vocabulary
217,develop,core_3000,,,,,Core high-frequency vocabulary
218,development,core_3000,,,,,Core high-frequency vocabulary
219,die,core_3000,,,,,Core high-frequency vocabulary
220,difference,core_3000,,,,,Core high-frequency vocabulary
221,different,core_3000,,,,,Core high-frequency vocabulary
222,difficult,core_3000,,,,,Core high-frequency vocabulary
223,direction,core_3000,,,,,Core high-frequency vocabulary
224,director,core_3000,,,,,Core high-frequency vocabulary
225,discover,core_3000,,,,,Core high-frequency vocabulary
226,discuss,core_3000,,,,,Core high-frequency vocabulary
227,disease,core_3000,,,,,Core high-frequency vocabulary
228,do,core_3000,,,,,Core high-frequency vocabulary
229,doctor,core_3000,,,,,Core high-frequency vocabulary
230,dog,core_3000,,,,,Core high-frequency vocabulary
231,door,core_3000,,,,,Core high-frequency vocabulary
232,down,core_3000,,,,,Core high-frequency vocabulary
